S.no,tld,LE,BL,DP,LP,CCP,IPP,ACR,WBY,TLDs Reg,TLDs Reg32,TLDs Free32,SG,CO,CPC,SDE,Traffic,Valuation,Bids
1,com,6,2,0,0,0,0,1,2014,1,1,31,0,0,0,0,84,0,3
2,com,6,875128,164,1442,128,154,30,2016,1,1,31,0,0,0,0,0,1329,11
3,com,17,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,7,1284,3
4,com,6,109,6,6,4,4,61,2005,1,1,31,0,0,0,0,33,0,1
5,com,7,0,0,0,0,0,30,1999,9,7,25,0,0,0,0,31,2951,39
6,com,12,0,0,0,0,0,1,2015,2,2,30,0,0,0,0,0,1519,1
7,com,17,10744,372,1777,302,346,746,2001,2,1,31,480,0,0,10,0,1022,58
8,com,8,299,16,62,17,17,96,1999,8,7,25,720,3,0.05,20,17,3188,40
9,org,17,91,12,335,10,10,50,2009,4,4,28,0,0,0,0,487,121,4
10,com,12,0,0,0,0,0,8,2012,4,4,28,1300,62,12.14,10,4,2386,16
11,com,10,0,0,0,0,0,27,2002,5,5,27,480,3,0.23,10,0,2902,12
12,com,19,0,0,0,0,0,17,2009,3,3,29,0,0,0,0,2,1870,4
13,com,7,0,0,0,0,0,41,2017,2,2,30,0,0,0,0,0,1239,1
14,net,13,142,3,7,3,3,103,2012,3,2,30,210,46,1.6,10,0,362,1
15,com,7,2341,97,170,78,81,200,2011,1,1,31,0,0,0,0,0,1177,11
16,com,7,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,70,1051,1
17,com,12,0,0,0,0,0,3,2016,1,1,31,0,0,0,0,13,620,1
18,com,7,2,1,1,1,1,4,2013,1,1,31,0,0,0,0,54,767,1
19,com,6,0,1,1,1,1,2,2016,1,1,31,0,0,0,0,7,0,2
20,com,5,269,0,0,0,0,5,2011,1,1,31,0,0,0,0,0,891,3
21,org,10,124,19,30,17,17,150,2017,3,3,29,1900,20,0.77,10,24,837,1
22,com,9,2330,3,3,3,3,25,2013,1,1,31,10,10,0.36,0,0,1166,1
